state,date,year,month,day_name,day_of_week,is_weekend,pm25,temp_max,temp_min,temp_mean,electricity_mwh,green_percentage,electricity_scaled,pm25_norm,green_norm,temp_norm,electricity_norm,QoL,season
Carolinas,2025-06-11,2025,6,Wednesday,2,0,11.78,29.8,19.9,23.8,700864.0,87.41899587754088,70.0864,0.0699872834470116,0.8998099064502176,0.7794117647058825,0.29244220336189625,0.8792068376071034,Summer
Carolinas,2025-06-12,2025,6,Thursday,3,0,8.029166666666667,30.4,20.0,24.6,712710.0,87.41899587754088,71.271,0.04768707370646232,0.8998099064502176,0.7962184873949582,0.30050982811859395,0.8982874994728388,Summer
Carolinas,2025-06-13,2025,6,Friday,4,0,7.1875,31.1,21.7,25.5,693520.0,87.41899587754088,69.352,0.04268302753051147,0.8998099064502176,0.8151260504201681,0.28744063015463744,0.9100771989540162,Summer
Carolinas,2025-06-14,2025,6,Saturday,5,1,5.279166666666667,29.0,21.7,24.7,679293.0,87.41899587754088,67.9293,0.031337219864246674,0.8998099064502176,0.7983193277310925,0.2777514441497802,0.9136455065343011,Summer
Carolinas,2025-06-15,2025,6,Sunday,6,1,6.1875,30.4,22.4,25.2,678717.0,87.41899587754088,67.8717,0.036737626133342145,0.8998099064502176,0.8088235294117648,0.2773591638982305,0.9136120929592698,Summer
Carolinas,2025-06-16,2025,6,Monday,0,0,7.1125,29.5,21.6,24.7,740140.0,87.41899587754088,74.014,0.04223712242572377,0.8998099064502176,0.7983193277310925,0.3191908130144422,0.8995047898310559,Summer
Carolinas,2025-06-17,2025,6,Tuesday,1,0,5.379166666666666,31.4,22.1,25.8,775578.0,87.41899587754088,77.5578,0.031931760003963604,0.8998099064502176,0.8214285714285715,0.3433255830741968,0.9100314970196411,Summer
Carolinas,2025-06-18,2025,6,Wednesday,2,0,7.229166666666667,32.2,22.2,27.3,773218.0,87.41899587754088,77.3218,0.04293075258872686,0.8998099064502176,0.8529411764705883,0.34171832371020844,0.9134630397156942,Summer
Carolinas,2025-06-19,2025,6,Thursday,3,0,10.7875,33.2,23.6,27.4,774664.0,87.41899587754088,77.4664,0.06408647256032106,0.8998099064502176,0.8550420168067229,0.342703110591703,0.8999264356857997,Summer
Carolinas,2025-06-20,2025,6,Friday,4,0,6.9,30.5,20.2,24.9,721940.0,87.41899587754088,72.194,0.040973724628825293,0.8998099064502176,0.8025210084033615,0.3067958467328367,0.9038035792098069,Summer
Carolinas,2025-06-21,2025,6,Saturday,5,1,5.941666666666666,31.2,19.8,25.4,713563.0,87.41899587754088,71.3563,0.035276048289871346,0.8998099064502176,0.8130252100840337,0.30109075703278126,0.9120353907009688,Summer
Carolinas,2025-06-22,2025,6,Sunday,6,1,4.883333333333334,33.8,21.5,27.4,750699.0,87.41899587754088,75.0699,0.02898383181120048,0.8998099064502176,0.8550420168067229,0.3263819365840835,0.9259885911180853,Summer
Carolinas,2025-06-23,2025,6,Monday,0,0,4.841666666666667,36.5,23.5,29.7,827900.0,87.41899587754088,82.79,0.028736106752985092,0.8998099064502176,0.9033613445378152,0.37895906800750234,0.9334801388187127,Summer
Carolinas,2025-06-24,2025,6,Tuesday,1,0,26.65833333333333,36.3,25.2,31.0,867811.0,87.41899587754088,86.7811,0.1584449472345626,0.8998099064502176,0.930672268907563,0.4061401393956977,0.8517685321806643,Summer
Carolinas,2025-06-25,2025,6,Wednesday,2,0,31.816666666666663,34.8,26.2,30.2,841529.0,87.41899587754088,84.1529,0.18911330944162769,0.8998099064502176,0.9138655462184875,0.3882409908345354,0.8287567095219538,Summer
Carolinas,2025-06-26,2025,6,Thursday,3,0,16.691666666666666,32.7,23.5,28.0,781877.0,87.41899587754088,78.1877,0.09918911330944163,0.8998099064502176,0.8676470588235294,0.3476154672834184,0.8799534585971811,Summer
Carolinas,2025-06-27,2025,6,Friday,4,0,11.183333333333332,33.2,22.9,27.8,787565.0,87.41899587754088,78.7565,0.06643986061336724,0.8998099064502176,0.8634453781512607,0.3514892347674718,0.899694808215167,Summer
Carolinas,2025-06-28,2025,6,Saturday,5,1,8.370833333333334,33.0,22.8,27.2,734794.0,87.41899587754088,73.4794,0.049718419183828515,0.8998099064502176,0.8508403361344539,0.31554996192974644,0.9126010201113333,Summer
Carolinas,2025-06-29,2025,6,Sunday,6,1,9.6875,33.5,23.0,27.7,741659.0,87.41899587754088,74.1659,0.057546531023434794,0.8998099064502176,0.8613445378151261,0.3202253159694839,0.9101101691364128,Summer
Carolinas,2025-06-30,2025,6,Monday,0,0,8.158333333333333,33.1,23.9,28.2,799234.0,87.41899587754088,79.9234,0.04845502138693003,0.8998099064502176,0.8718487394957984,0.35943631507187035,0.9131304793723439,Summer
Carolinas,2025-07-01,2025,7,Tuesday,1,0,7.945833333333333,33.3,23.7,28.0,783149.0,89.30824295153509,78.3149,0.047191623590031546,0.9208794347877436,0.8676470588235294,0.348481752838924,0.9249056901601838,Summer
Carolinas,2025-07-02,2025,7,Wednesday,2,0,9.025,28.5,22.0,24.4,735646.0,89.30824295153509,73.5646,0.053607702597810114,0.9208794347877436,0.7920168067226893,0.3161302098018304,0.9008653056557319,Summer
Carolinas,2025-07-03,2025,7,Thursday,3,0,6.175,30.4,21.2,25.2,741373.0,89.30824295153509,74.1373,0.03666330861587753,0.9208794347877436,0.8088235294117648,0.3200305379279158,0.9170765571062702,Summer
Carolinas,2025-07-04,2025,7,Friday,4,0,7.683333333333334,31.6,22.0,26.5,712117.0,89.30824295153509,71.2117,0.0456309557232746,0.9208794347877436,0.8361344537815126,0.3001059701512867,0.9235077717557781,Summer
Carolinas,2025-07-05,2025,7,Saturday,5,1,4.016666666666667,30.4,20.1,25.1,669285.0,89.30824295153509,66.9285,0.023831150600320393,0.9208794347877436,0.8067226890756305,0.270935574779104,0.9330768295503629,Summer
