period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2025-12-02,TEX,Texas,D,Demand,Central,Central,1343964,megawatthours
2025-12-01,CAL,California,D,Demand,Central,Central,734949,megawatthours
2025-12-01,CAR,Carolinas,D,Demand,Central,Central,582690,megawatthours
2025-12-01,FLA,Florida,D,Demand,Central,Central,606790,megawatthours
2025-12-01,NY,New York,D,Demand,Central,Central,418250,megawatthours
2025-12-01,TEN,Tennessee,D,Demand,Central,Central,532368,megawatthours
2025-12-01,TEX,Texas,D,Demand,Central,Central,1324050,megawatthours
2025-11-30,CAL,California,D,Demand,Central,Central,669785,megawatthours
2025-11-30,CAR,Carolinas,D,Demand,Central,Central,556206,megawatthours
2025-11-30,FLA,Florida,D,Demand,Central,Central,579372,megawatthours
2025-11-30,NY,New York,D,Demand,Central,Central,401931,megawatthours
2025-11-30,TEN,Tennessee,D,Demand,Central,Central,463516,megawatthours
2025-11-30,TEX,Texas,D,Demand,Central,Central,1215442,megawatthours
2025-11-29,CAL,California,D,Demand,Central,Central,669932,megawatthours
2025-11-29,CAR,Carolinas,D,Demand,Central,Central,627087,megawatthours
2025-11-29,FLA,Florida,D,Demand,Central,Central,563749,megawatthours
2025-11-29,NY,New York,D,Demand,Central,Central,390145,megawatthours
2025-11-29,TEN,Tennessee,D,Demand,Central,Central,476753,megawatthours
2025-11-29,TEX,Texas,D,Demand,Central,Central,1146928,megawatthours
2025-11-28,CAL,California,D,Demand,Central,Central,672313,megawatthours
2025-11-28,CAR,Carolinas,D,Demand,Central,Central,592589,megawatthours
2025-11-28,FLA,Florida,D,Demand,Central,Central,547793,megawatthours
2025-11-28,NY,New York,D,Demand,Central,Central,398027,megawatthours
2025-11-28,TEN,Tennessee,D,Demand,Central,Central,484317,megawatthours
2025-11-28,TEX,Texas,D,Demand,Central,Central,1128387,megawatthours
2025-11-27,CAL,California,D,Demand,Central,Central,671632,megawatthours
2025-11-27,CAR,Carolinas,D,Demand,Central,Central,495567,megawatthours
2025-11-27,FLA,Florida,D,Demand,Central,Central,596455,megawatthours
2025-11-27,NY,New York,D,Demand,Central,Central,371650,megawatthours
2025-11-27,TEN,Tennessee,D,Demand,Central,Central,438189,megawatthours
2025-11-27,TEX,Texas,D,Demand,Central,Central,1122298,megawatthours
2025-11-26,CAL,California,D,Demand,Central,Central,722852,megawatthours
2025-11-26,CAR,Carolinas,D,Demand,Central,Central,472427,megawatthours
2025-11-26,FLA,Florida,D,Demand,Central,Central,663812,megawatthours
2025-11-26,NY,New York,D,Demand,Central,Central,387216,megawatthours
2025-11-26,TEN,Tennessee,D,Demand,Central,Central,409462,megawatthours
2025-11-26,TEX,Texas,D,Demand,Central,Central,1171040,megawatthours
2025-11-25,CAL,California,D,Demand,Central,Central,715793,megawatthours
2025-11-25,CAR,Carolinas,D,Demand,Central,Central,492924,megawatthours
2025-11-25,FLA,Florida,D,Demand,Central,Central,650561,megawatthours
2025-11-25,NY,New York,D,Demand,Central,Central,401879,megawatthours
2025-11-25,TEN,Tennessee,D,Demand,Central,Central,395166,megawatthours
2025-11-25,TEX,Texas,D,Demand,Central,Central,1214573,megawatthours
2025-11-24,CAL,California,D,Demand,Central,Central,699971,megawatthours
2025-11-24,CAR,Carolinas,D,Demand,Central,Central,492452,megawatthours
2025-11-24,FLA,Florida,D,Demand,Central,Central,637740,megawatthours
2025-11-24,NY,New York,D,Demand,Central,Central,391658,megawatthours
2025-11-24,TEN,Tennessee,D,Demand,Central,Central,408862,megawatthours
2025-11-24,TEX,Texas,D,Demand,Central,Central,1216449,megawatthours
2025-11-23,CAL,California,D,Demand,Central,Central,632327,megawatthours
2025-11-23,CAR,Carolinas,D,Demand,Central,Central,439569,megawatthours
2025-11-23,FLA,Florida,D,Demand,Central,Central,610406,megawatthours
2025-11-23,NY,New York,D,Demand,Central,Central,387763,megawatthours
2025-11-23,TEN,Tennessee,D,Demand,Central,Central,370527,megawatthours
2025-11-23,TEX,Texas,D,Demand,Central,Central,1139275,megawatthours
2025-11-22,CAL,California,D,Demand,Central,Central,647905,megawatthours
2025-11-22,CAR,Carolinas,D,Demand,Central,Central,449592,megawatthours
2025-11-22,FLA,Florida,D,Demand,Central,Central,613938,megawatthours
2025-11-22,NY,New York,D,Demand,Central,Central,373317,megawatthours
2025-11-22,TEN,Tennessee,D,Demand,Central,Central,373847,megawatthours
2025-11-22,TEX,Texas,D,Demand,Central,Central,1183140,megawatthours
2025-11-21,CAL,California,D,Demand,Central,Central,690305,megawatthours
2025-11-21,CAR,Carolinas,D,Demand,Central,Central,472690,megawatthours
2025-11-21,FLA,Florida,D,Demand,Central,Central,625746,megawatthours
2025-11-21,NY,New York,D,Demand,Central,Central,405336,megawatthours
2025-11-21,TEN,Tennessee,D,Demand,Central,Central,390406,megawatthours
2025-11-21,TEX,Texas,D,Demand,Central,Central,1273365,megawatthours
2025-11-20,CAL,California,D,Demand,Central,Central,726338,megawatthours
2025-11-20,CAR,Carolinas,D,Demand,Central,Central,477350,megawatthours
2025-11-20,FLA,Florida,D,Demand,Central,Central,627602,megawatthours
2025-11-20,NY,New York,D,Demand,Central,Central,402034,megawatthours
2025-11-20,TEN,Tennessee,D,Demand,Central,Central,394894,megawatthours
2025-11-20,TEX,Texas,D,Demand,Central,Central,1300440,megawatthours
2025-11-19,CAL,California,D,Demand,Central,Central,701624,megawatthours
2025-11-19,CAR,Carolinas,D,Demand,Central,Central,485138,megawatthours
2025-11-19,FLA,Florida,D,Demand,Central,Central,623200,megawatthours
2025-11-19,NY,New York,D,Demand,Central,Central,404923,megawatthours
2025-11-19,TEN,Tennessee,D,Demand,Central,Central,400173,megawatthours
2025-11-19,TEX,Texas,D,Demand,Central,Central,1332151,megawatthours
2025-11-18,CAL,California,D,Demand,Central,Central,686113,megawatthours
2025-11-18,CAR,Carolinas,D,Demand,Central,Central,527109,megawatthours
2025-11-18,FLA,Florida,D,Demand,Central,Central,605897,megawatthours
2025-11-18,NY,New York,D,Demand,Central,Central,406016,megawatthours
2025-11-18,TEN,Tennessee,D,Demand,Central,Central,415848,megawatthours
2025-11-18,TEX,Texas,D,Demand,Central,Central,1337030,megawatthours
2025-11-17,CAL,California,D,Demand,Central,Central,697242,megawatthours
2025-11-17,CAR,Carolinas,D,Demand,Central,Central,501859,megawatthours
2025-11-17,FLA,Florida,D,Demand,Central,Central,588260,megawatthours
2025-11-17,NY,New York,D,Demand,Central,Central,414358,megawatthours
2025-11-17,TEN,Tennessee,D,Demand,Central,Central,424840,megawatthours
2025-11-17,TEX,Texas,D,Demand,Central,Central,1333234,megawatthours
2025-11-16,CAL,California,D,Demand,Central,Central,646014,megawatthours
2025-11-16,CAR,Carolinas,D,Demand,Central,Central,432571,megawatthours
2025-11-16,FLA,Florida,D,Demand,Central,Central,519958,megawatthours
2025-11-16,NY,New York,D,Demand,Central,Central,368835,megawatthours
2025-11-16,TEN,Tennessee,D,Demand,Central,Central,365618,megawatthours
2025-11-16,TEX,Texas,D,Demand,Central,Central,1244228,megawatthours
2025-11-15,CAL,California,D,Demand,Central,Central,662678,megawatthours
2025-11-15,CAR,Carolinas,D,Demand,Central,Central,464612,megawatthours
2025-11-15,FLA,Florida,D,Demand,Central,Central,563948,megawatthours
2025-11-15,NY,New York,D,Demand,Central,Central,374381,megawatthours
2025-11-15,TEN,Tennessee,D,Demand,Central,Central,377253,megawatthours
2025-11-15,TEX,Texas,D,Demand,Central,Central,1242253,megawatthours
2025-11-14,CAL,California,D,Demand,Central,Central,705521,megawatthours
2025-11-14,CAR,Carolinas,D,Demand,Central,Central,520498,megawatthours
2025-11-14,FLA,Florida,D,Demand,Central,Central,569602,megawatthours
2025-11-14,NY,New York,D,Demand,Central,Central,394307,megawatthours
2025-11-14,TEN,Tennessee,D,Demand,Central,Central,413072,megawatthours
2025-11-14,TEX,Texas,D,Demand,Central,Central,1253575,megawatthours
2025-11-13,CAL,California,D,Demand,Central,Central,729810,megawatthours
2025-11-13,CAR,Carolinas,D,Demand,Central,Central,513763,megawatthours
2025-11-13,FLA,Florida,D,Demand,Central,Central,585239,megawatthours
2025-11-13,NY,New York,D,Demand,Central,Central,400214,megawatthours
2025-11-13,TEN,Tennessee,D,Demand,Central,Central,425581,megawatthours
2025-11-13,TEX,Texas,D,Demand,Central,Central,1227096,megawatthours
2025-11-12,CAL,California,D,Demand,Central,Central,722965,megawatthours
2025-11-12,CAR,Carolinas,D,Demand,Central,Central,556218,megawatthours
2025-11-12,FLA,Florida,D,Demand,Central,Central,619952,megawatthours
2025-11-12,NY,New York,D,Demand,Central,Central,415640,megawatthours
2025-11-12,TEN,Tennessee,D,Demand,Central,Central,442295,megawatthours
2025-11-12,TEX,Texas,D,Demand,Central,Central,1190213,megawatthours
2025-11-11,CAL,California,D,Demand,Central,Central,730210,megawatthours
2025-11-11,CAR,Carolinas,D,Demand,Central,Central,715870,megawatthours
2025-11-11,FLA,Florida,D,Demand,Central,Central,626055,megawatthours
2025-11-11,NY,New York,D,Demand,Central,Central,420353,megawatthours
2025-11-11,TEN,Tennessee,D,Demand,Central,Central,529132,megawatthours
2025-11-11,TEX,Texas,D,Demand,Central,Central,1197103,megawatthours
2025-11-10,CAL,California,D,Demand,Central,Central,730788,megawatthours
2025-11-10,CAR,Carolinas,D,Demand,Central,Central,608804,megawatthours
2025-11-10,FLA,Florida,D,Demand,Central,Central,598499,megawatthours
2025-11-10,NY,New York,D,Demand,Central,Central,402090,megawatthours
2025-11-10,TEN,Tennessee,D,Demand,Central,Central,539581,megawatthours
2025-11-10,TEX,Texas,D,Demand,Central,Central,1182715,megawatthours
2025-11-09,CAL,California,D,Demand,Central,Central,664958,megawatthours
2025-11-09,CAR,Carolinas,D,Demand,Central,Central,498995,megawatthours
2025-11-09,FLA,Florida,D,Demand,Central,Central,662158,megawatthours
2025-11-09,NY,New York,D,Demand,Central,Central,362680,megawatthours
2025-11-09,TEN,Tennessee,D,Demand,Central,Central,398278,megawatthours
2025-11-09,TEX,Texas,D,Demand,Central,Central,1125254,megawatthours
2025-11-08,CAL,California,D,Demand,Central,Central,681652,megawatthours
2025-11-08,CAR,Carolinas,D,Demand,Central,Central,491784,megawatthours
2025-11-08,FLA,Florida,D,Demand,Central,Central,657653,megawatthours
2025-11-08,NY,New York,D,Demand,Central,Central,343344,megawatthours
2025-11-08,TEN,Tennessee,D,Demand,Central,Central,367233,megawatthours
2025-11-08,TEX,Texas,D,Demand,Central,Central,1212485,megawatthours
2025-11-07,CAL,California,D,Demand,Central,Central,721480,megawatthours
2025-11-07,CAR,Carolinas,D,Demand,Central,Central,536322,megawatthours
2025-11-07,FLA,Florida,D,Demand,Central,Central,667308,megawatthours
2025-11-07,NY,New York,D,Demand,Central,Central,382994,megawatthours
2025-11-07,TEN,Tennessee,D,Demand,Central,Central,390784,megawatthours
2025-11-07,TEX,Texas,D,Demand,Central,Central,1241084,megawatthours
2025-11-06,CAL,California,D,Demand,Central,Central,715577,megawatthours
2025-11-06,CAR,Carolinas,D,Demand,Central,Central,524259,megawatthours
2025-11-06,FLA,Florida,D,Demand,Central,Central,620469,megawatthours
2025-11-06,NY,New York,D,Demand,Central,Central,380637,megawatthours
2025-11-06,TEN,Tennessee,D,Demand,Central,Central,398221,megawatthours
2025-11-06,TEX,Texas,D,Demand,Central,Central,1233196,megawatthours
2025-11-05,CAL,California,D,Demand,Central,Central,708964,megawatthours
2025-11-05,CAR,Carolinas,D,Demand,Central,Central,494792,megawatthours
