state,date,year,month,day_name,day_of_week,is_weekend,pm25,temp_max,temp_min,temp_mean,electricity_mwh,green_percentage,electricity_scaled,pm25_norm,green_norm,temp_norm,QoL,electricity_norm
Tennessee,2024-03-06,2024,3,Wednesday,2,0,6.165217391304348,13.6,2.0,7.6,384886.0,93.65148614758488,38.4886,0.03660514708047044,0.9693167656459404,0.5431034482758621,0.8910948460539453,0.07724788161853742
Tennessee,2024-03-07,2024,3,Thursday,3,0,10.852173913043478,12.4,1.8,7.0,385856.0,93.65148614758488,38.5856,0.06447098493329015,0.9693167656459404,0.5327586206896552,0.86795345133696,0.07790849245882078
Tennessee,2024-03-08,2024,3,Friday,4,0,4.6695652173913045,10.6,8.5,9.3,376330.0,93.65148614758488,37.633,0.027712894556008484,0.9693167656459404,0.5724137931034483,0.9085217175229677,0.07142088538197608
Tennessee,2024-03-09,2024,3,Saturday,5,1,4.365217391304348,7.8,-0.9,4.5,376429.0,93.65148614758488,37.6429,0.025903424565565648,0.9693167656459404,0.4896551724137931,0.8809314333688427,0.0714883085502112
Tennessee,2024-03-10,2024,3,Sunday,6,1,5.2,9.1,-3.4,2.6,390438.0,93.65148614758488,39.0438,0.030866542253637434,0.9693167656459404,0.45689655172413796,0.8643942755972494,0.08102902737653048
Tennessee,2024-03-11,2024,3,Monday,0,0,5.1869565217391305,18.6,2.2,8.0,438774.0,93.65148614758488,43.8774,0.03078899353976131,0.9693167656459404,0.5499999999999999,0.8911571751817388,0.11394787848574374
Tennessee,2024-03-12,2024,3,Tuesday,1,0,6.982608695652174,21.0,7.9,13.3,416490.0,93.65148614758488,41.649,0.04146486648337406,0.9693167656459404,0.6413793103448276,0.9182046482947127,0.09877153625391429
Tennessee,2024-03-13,2024,3,Wednesday,2,0,10.495652173913044,21.0,8.5,14.6,389696.0,93.65148614758488,38.9696,0.062351320087342836,0.9693167656459404,0.6637931034482759,0.9146378959260457,0.08052369413581886
Tennessee,2024-03-14,2024,3,Thursday,3,0,15.130434782608695,21.0,12.4,15.4,387776.0,93.65148614758488,38.7776,0.08990696308465806,0.9693167656459404,0.6775862068965517,0.9004672026495928,0.07921609329731982
Tennessee,2024-03-15,2024,3,Friday,4,0,6.865217391304348,15.1,3.9,9.3,367183.0,93.65148614758488,36.7183,0.04076692805848897,0.9693167656459404,0.5724137931034483,0.9005090223465844,0.06519139326231427
Tennessee,2024-03-16,2024,3,Saturday,5,1,7.534782608695653,16.4,4.5,9.7,351169.0,93.65148614758488,35.1169,0.044747762037463217,0.9693167656459404,0.5793103448275861,0.9020381450630485,0.05428518501870823
Tennessee,2024-03-17,2024,3,Sunday,6,1,4.1173913043478265,11.2,0.9,4.6,350711.0,93.65148614758488,35.0711,0.024429999001919337,0.9693167656459404,0.49137931034482757,0.8856109902401199,0.05397326773535793
Tennessee,2024-03-18,2024,3,Monday,0,0,3.139130434782609,2.7,-4.7,-0.8,432115.0,93.65148614758488,43.2115,0.018613845461210206,0.9693167656459404,0.3982758620689655,0.8475602217091827,0.10941281911930359
Tennessee,2024-03-19,2024,3,Tuesday,1,0,5.92608695652174,15.1,-2.7,3.7,461683.0,93.65148614758488,46.1683,0.03518342065940821,0.9693167656459404,0.4758620689655172,0.85954042598284,0.12954987203218876
Tennessee,2024-03-20,2024,3,Wednesday,2,0,12.36,11.7,3.0,6.0,403497.0,93.65148614758488,40.3497,0.07343561625736982,0.9693167656459404,0.5155172413793103,0.8536038517058098,0.08992275620463408
Tennessee,2024-03-21,2024,3,Thursday,3,0,4.505263157894737,9.8,-1.8,2.9,385842.0,93.65148614758488,38.5842,0.026736052861919792,0.9693167656459404,0.4620689655172413,0.8696209162642567,0.0778989578693734
Tennessee,2024-03-22,2024,3,Friday,4,0,9.579166666666667,9.4,0.6,5.0,374336.0,93.65148614758488,37.4336,0.05690244587207479,0.9693167656459404,0.4982758620689655,0.8625788984259938,0.07006288742782656
Tennessee,2024-03-23,2024,3,Saturday,5,1,13.75,7.3,-3.2,2.4,367792.0,93.65148614758488,36.7792,0.08169972419943519,0.9693167656459404,0.45344827586206893,0.8304512817685941,0.06560614790327568
Tennessee,2024-03-24,2024,3,Sunday,6,1,7.399999999999999,13.1,3.3,5.8,384109.0,93.65148614758488,38.4109,0.043946425327409944,0.9693167656459404,0.5120689655172413,0.8752556089573382,0.07671871190420734
Tennessee,2024-03-25,2024,3,Monday,0,0,5.7625,13.7,9.8,11.9,384140.0,93.65148614758488,38.414,0.034210830539545184,0.9693167656459404,0.6172413793103447,0.9186876394426513,0.07673982420941228
Tennessee,2024-03-26,2024,3,Tuesday,1,0,4.641666666666667,11.9,3.8,7.4,380326.0,93.65148614758488,38.0326,0.027547026473551225,0.9693167656459404,0.539655172413793,0.8967474377897163,0.07414232962710221
Tennessee,2024-03-27,2024,3,Wednesday,2,0,4.6125,8.0,-3.5,2.2,391783.0,93.65148614758488,39.1783,0.02737361893280045,0.9693167656459404,0.44999999999999996,0.864265789243783,0.08194502900558319
Tennessee,2024-03-28,2024,3,Thursday,3,0,6.504166666666666,16.2,-2.1,5.9,396531.0,93.65148614758488,39.6531,0.038620336575779096,0.9693167656459404,0.5137931034482758,0.8780944473796533,0.08517861691245476
Tennessee,2024-03-29,2024,3,Friday,4,0,8.804166666666667,20.2,1.9,10.6,379387.0,93.65148614758488,37.9387,0.052294759789268556,0.9693167656459404,0.5948275862068966,0.8988371620477826,0.07350283109202377
Tennessee,2024-03-30,2024,3,Saturday,5,1,7.675,18.6,11.8,15.7,351572.0,93.65148614758488,35.1572,0.04558141071163152,0.9693167656459404,0.6827586206896551,0.9374588820456972,0.05455964498637235
Tennessee,2024-03-31,2024,3,Sunday,6,1,7.520833333333333,17.0,7.0,11.2,346161.0,93.65148614758488,34.6161,0.04466482799623458,0.9693167656459404,0.6051724137931034,0.9117026128899743,0.05087452616495657
Tennessee,2024-04-01,2024,4,Monday,0,0,9.6125,21.5,7.2,12.4,386530.0,89.61664946530912,38.653,0.0571006259186471,0.9243188895159712,0.6258620689655172,0.8819336863454025,0.07836751483650223
Tennessee,2024-04-02,2024,4,Tuesday,1,0,13.829166666666666,17.5,4.2,11.4,397340.0,89.61664946530912,39.734,0.08217040181004442,0.9243188895159712,0.6086206896551724,0.8571700667352942,0.08572957997409315
Tennessee,2024-04-03,2024,4,Wednesday,2,0,3.766666666666667,5.7,1.8,4.0,381429.0,89.61664946530912,38.1429,0.02234480025102806,0.9243188895159712,0.48103448275862065,0.8562929537654556,0.07489351906713577
Tennessee,2024-04-04,2024,4,Thursday,3,0,3.5125,7.7,0.3,4.2,414122.0,89.61664946530912,41.4122,0.02083367739591419,0.9243188895159712,0.4844827586206896,0.8546682971072219,0.0971588285530988
Tennessee,2024-04-05,2024,4,Friday,4,0,3.475,11.7,-0.8,5.0,419971.0,89.61664946530912,41.9971,0.020610724843520337,0.9243188895159712,0.4982758620689655,0.8589362273141425,0.10114224381579719
Tennessee,2024-04-06,2024,4,Saturday,5,1,3.829166666666667,13.3,-0.4,5.8,386632.0,89.61664946530912,38.6632,0.022716387838351143,0.9243188895159712,0.5120689655172413,0.8662314343362346,0.07843698113104748
Tennessee,2024-04-07,2024,4,Sunday,6,1,7.429166666666667,19.6,6.1,11.2,372104.0,89.61664946530912,37.2104,0.04411983286816073,0.9243188895159712,0.6051724137931034,0.8854826992298226,0.06854280145307143
Tennessee,2024-04-08,2024,4,Monday,0,0,14.9,22.5,8.4,14.8,376977.0,89.61664946530912,37.6977,0.08853693580617993,0.9243188895159712,0.6672413793103449,0.8755773162102649,0.07186151962286612
Tennessee,2024-04-09,2024,4,Tuesday,1,0,7.043478260869565,17.5,6.6,12.2,373562.0,89.61664946530912,37.3562,0.04182676048146263,0.9243188895159712,0.6224137931034481,0.8929161255235638,0.06953576083980664
Tennessee,2024-04-10,2024,4,Wednesday,2,0,10.320833333333333,19.2,4.6,11.5,374673.0,89.61664946530912,37.4673,0.061311951908308696,0.9243188895159712,0.6103448275862069,0.8749981355379868,0.07029239861666728
Tennessee,2024-04-11,2024,4,Thursday,3,0,6.5625,17.4,10.0,13.3,368914.0,89.61664946530912,36.8914,0.038967151657280645,0.9243188895159712,0.6413793103448276,0.9020697960462639,0.06637027714327355
Tennessee,2024-04-12,2024,4,Friday,4,0,4.420833333333333,16.7,7.1,11.7,373778.0,89.61664946530912,37.3778,0.026234083665009664,0.9243188895159712,0.6137931034482758,0.9007538111063151,0.06968286593413778
Tennessee,2024-04-13,2024,4,Saturday,5,1,6.091666666666666,23.1,4.7,13.1,366079.0,89.61664946530912,36.6079,0.036167858499446745,0.9243188895159712,0.6379310344827587,0.9031555485282492,0.06443952278017731
Tennessee,2024-04-14,2024,4,Sunday,6,1,7.283333333333334,27.5,16.5,21.6,362497.0,89.61664946530912,36.2497,0.043252795164406874,0.9243188895159712,0.7844827586206896,0.9497129325667605,0.06200002996585255
Tennessee,2024-04-15,2024,4,Monday,0,0,7.045833333333333,24.5,11.8,18.4,411217.0,89.61664946530912,41.1217,0.04184076233257915,0.9243188895159712,0.7293103448275862,0.9256892842078642,0.09518040124276562
Tennessee,2024-04-16,2024,4,Tuesday,1,0,10.195833333333333,24.9,15.9,19.9,415506.0,89.61664946530912,41.5506,0.06056877673366253,0.9243188895159712,0.7551724137931034,0.9211400776851282,0.09810139082418354
Tennessee,2024-04-17,2024,4,Wednesday,2,0,8.745833333333334,23.2,14.8,18.9,404427.0,89.61664946530912,40.4427,0.05194794470776701,0.9243188895159712,0.7379310344827585,0.9224548611263766,0.09055612536078206
Tennessee,2024-04-18,2024,4,Thursday,3,0,11.604166666666666,18.6,10.6,13.4,426089.0,89.61664946530912,42.6089,0.06894188370134267,0.9243188895159712,0.643103448275862,0.874994834292937,0.1053088594043061
Tennessee,2024-04-19,2024,4,Friday,4,0,9.320833333333333,13.7,4.4,9.3,388562.0,89.61664946530912,38.8562,0.05536655051113937,0.9243188895159712,0.5724137931034483,0.8642755236837488,0.07975139239058036
Tennessee,2024-04-20,2024,4,Saturday,5,1,5.466666666666666,12.4,1.8,6.8,344708.0,89.61664946530912,34.4708,0.03245198262621592,0.9243188895159712,0.5293103448275862,0.8704292830609992,0.049884971988738286
Tennessee,2024-04-21,2024,4,Sunday,6,1,3.266666666666667,13.4,1.0,6.3,348129.0,89.61664946530912,34.8129,0.019372099552443397,0.9243188895159712,0.5206896551724138,0.8761353359135731,0.05221481702441808
